frame,type,x,y
300,PowerUp-SpeedUp,300,0
420,Alien1,150,0
422,Alien2,550,0
480,Alien3,100,0
482,Alien1,350,0
600,Alien2,120,0
602,Alien2,360,0
720,Alien3,180,0
782,Alien1,380,0
900,Alien2,160,0
902,Alien3,400,0
960,Alien1,120,0
962,Alien1,360,0
1080,PowerUp-MultiShot,250,0
1200,Alien3,100,0
1202,Alien2,300,0
1204,Alien1,500,0
1260,Alien2,140,0
1262,Alien2,420,0
1320,Alien1,180,0
1322,Alien1,460,0
1380,Alien3,220,0
1382,Alien3,480,0
1500,Alien2,80,0
1502,Alien3,240,0
1504,Alien1,400,0
1506,Alien2,560,0
1620,Alien1,120,0
1622,Alien1,440,0
1680,Alien3,200,0
1920,Alien1,140,0
1922,Alien2,380,0
1980,Alien2,100,0
1982,Alien3,340,0
2040,Alien3,180,0
2042,Alien2,420,0
2100,Alien2,160,0
2102,Alien1,400,0
2220,Alien1,80,0
2222,Alien3,320,0
2224,Alien2,560,0
2280,Alien3,240,0
2340,Alien2,120,0
2342,Alien2,480,0
2580,Alien1,180,0
2582,Alien3,380,0
2640,Alien2,140,0
2642,Alien3,380,0
2700,Alien3,100,0
2702,Alien2,340,0
2760,Alien1,200,0
2762,Alien1,440,0
2880,Alien2,80,0
2882,Alien1,280,0
2884,Alien3,480,0
2940,Alien1,160,0
3000,Alien3,240,0
3060,Alien2,120,0
3062,Alien2,480,0
3180,PowerUp-SpeedUp,320,0
3300,Alien1,100,0
3302,Alien3,300,0
3304,Alien2,500,0
3360,Alien3,140,0
3362,Alien2,420,0
3420,Alien2,180,0
3422,Alien3,460,0
3480,Alien1,120,0
3482,Alien1,360,0
3600,Alien3,200,0
3602,Alien2,480,0
3660,Alien2,80,0
3662,Alien1,360,0
3720,Alien1,160,0
3722,Alien1,440,0
3780,Alien2,240,0
3900,PowerUp-MultiShot,270,0
4020,Alien3,120,0
4022,Alien1,320,0
4024,Alien2,520,0
4080,Alien1,180,0
4082,Alien2,420,0
4140,Alien2,100,0
4142,Alien3,380,0
4200,Alien3,160,0
4202,Alien1,400,0
4320,Alien1,140,0
4322,Alien2,380,0
4380,Alien2,200,0
4382,Alien3,480,0
4440,Alien3,120,0
4442,Alien1,480,0
4680,Alien2,80,0
4682,Alien3,280,0
4684,Alien1,480,0
4740,Alien1,140,0
4742,Alien1,420,0
4800,Alien3,200,0
4802,Alien1,480,0
4860,Alien2,120,0
4862,Alien1,360,0
4980,Alien1,180,0
4982,Alien2,460,0
5040,Alien2,100,0
5042,Alien3,420,0
5100,Alien3,160,0
5102,Alien1,440,0
5340,Alien1,120,0
5342,Alien3,360,0
5400,Alien2,180,0
5402,Alien3,460,0
5460,Alien3,80,0
5462,Alien1,320,0
5464,Alien2,560,0
5520,Alien1,140,0
5522,Alien2,420,0
5640,Alien2,200,0
5700,Alien3,160,0
5702,Alien1,440,0
5760,Alien1,240,0
5820,Alien2,120,0
5822,Alien2,440,0
5940,PowerUp-SpeedUp,280,0
6060,Alien3,100,0
6062,Alien2,300,0
6064,Alien1,500,0
6120,Alien2,160,0
6122,Alien1,480,0
6180,Alien1,140,0
6182,Alien3,380,0
6240,Alien3,220,0
6242,Alien1,460,0
6360,Alien2,80,0
6362,Alien3,280,0
6364,Alien1,480,0
6420,Alien3,200,0
6480,Alien1,120,0
6482,Alien2,360,0
6540,Alien2,180,0
6542,Alien3,420,0
6660,PowerUp-MultiShot,190,0
6780,Alien3,140,0
6782,Alien1,380,0
6840,Alien1,100,0
6842,Alien3,340,0
6900,Alien2,180,0
6902,Alien2,460,0
6960,Alien3,160,0
6962,Alien2,400,0
7080,Alien1,120,0
7082,Alien2,360,0
7140,Alien2,200,0
7142,Alien3,480,0
7200,Alien3,80,0
7202,Alien1,280,0
7204,Alien2,480,0
7260,Alien1,160,0
7262,Alien1,440,0
7500,Alien2,140,0
7502,Alien1,380,0
7560,Alien3,100,0
7562,Alien2,340,0
7620,Alien1,180,0
7622,Alien1,460,0
7680,Alien2,120,0
7682,Alien1,360,0
7800,Alien3,200,0
7802,Alien2,480,0
7860,Alien2,160,0
7862,Alien1,400,0
7920,Alien1,240,0
7980,Alien3,120,0
7982,Alien2,480,0
8220,Alien2,80,0
8222,Alien1,280,0
8224,Alien3,480,0
8280,Alien1,140,0
8282,Alien1,420,0
8340,Alien3,200,0
8342,Alien1,480,0
8400,Alien2,160,0
8402,Alien2,440,0
8520,Alien1,120,0
8522,Alien3,360,0
8580,Alien3,180,0
8582,Alien2,460,0
8640,Alien2,100,0
8642,Alien1,420,0
8700,Alien1,220,0
8820,PowerUp-SpeedUp,250,0
8940,Alien3,140,0
8942,Alien1,380,0
9000,Alien1,80,0
9002,Alien3,320,0
9004,Alien2,560,0
9060,Alien2,160,0
9062,Alien3,440,0
9120,Alien3,120,0
9122,Alien1,360,0
9240,Alien1,200,0
9242,Alien1,480,0
9300,Alien2,180,0
9302,Alien2,460,0
9360,Alien3,100,0
9362,Alien2,380,0
9420,Alien2,160,0
9422,Alien3,400,0
9540,PowerUp-MultiShot,320,0
9660,Alien1,120,0
9662,Alien2,360,0
9720,Alien2,180,0
